City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Farafangana,MG,-22.8167,47.8333,76.78,86,67,7.43,light rain
179,North Vanlaiphai,IN,23.1333,93.0667,56.68,70,2,2.57,clear sky
180,Shelburne,CA,44.0787,-80.2041,53.24,62,93,14.5,overcast clouds
181,Rancho San Diego,US,32.7473,-116.9353,100.29,11,0,17.0,clear sky
182,Soe,ID,-9.8607,124.284,64.6,88,99,3.38,overcast clouds
183,Rondonopolis,BR,-16.4708,-54.6356,83.34,72,2,3.38,clear sky
184,Yulara,AU,-25.2406,130.9889,58.84,51,0,8.05,clear sky
185,College,US,64.8569,-147.8028,37.35,48,40,0.0,scattered clouds
186,La Libertad,EC,-2.2333,-80.9,80.26,74,0,10.36,clear sky
187,Lulea,SE,65.5842,22.1547,28.47,100,75,2.3,broken clouds
188,Alta,NO,69.9689,23.2717,30.18,82,40,17.0,scattered clouds
189,Wakkanai,JP,45.4094,141.6739,37.53,66,74,15.93,broken clouds
190,Aasiaat,GL,68.7098,-52.8699,10.24,91,97,2.1,overcast clouds
191,Rafai,CF,4.95,23.9167,69.06,92,96,7.7,moderate rain
192,Wemmel,BE,50.9081,4.3061,48.87,73,75,26.46,light intensity shower rain
193,Lorengau,PG,-2.0226,147.2712,80.78,83,100,16.53,overcast clouds
194,Mingaora,PK,34.7758,72.3625,67.23,31,4,8.03,clear sky
195,Maryville,US,35.7565,-83.9705,64.65,35,40,21.85,scattered clouds
196,Bhuvanagiri,IN,11.4667,79.6333,81.41,79,86,1.88,overcast clouds
197,Samarai,PG,-10.6167,150.6667,80.56,81,100,12.26,overcast clouds
198,Narsaq,GL,60.9167,-46.05,35.82,83,56,4.09,broken clouds
199,Homer,US,59.6425,-151.5483,44.04,72,0,6.91,clear sky
200,Airai,TL,-8.9266,125.4092,59.16,83,100,2.71,overcast clouds
201,Osakarovka,KZ,50.565,72.5692,34.41,85,100,7.18,overcast clouds
202,Aswan,EG,24.0934,32.907,85.87,14,8,10.78,clear sky
203,Coquimbo,CL,-29.9533,-71.3436,58.73,88,40,13.8,scattered clouds
204,Hurghada,EG,27.2574,33.8129,83.17,25,23,8.84,few clouds
205,Teya,RU,60.3778,92.6267,27.23,86,100,8.88,light snow
206,Lompoc,US,34.6391,-120.4579,95.77,36,6,6.62,clear sky
207,Vostok,RU,46.4856,135.8833,16.54,87,42,4.76,scattered clouds
208,Cayenne,GF,4.9333,-52.3333,77.04,1,75,4.61,heavy intensity rain
209,Reconquista,AR,-29.15,-59.65,66.92,91,100,6.73,overcast clouds
210,Itambacuri,BR,-18.0311,-41.685,78.91,72,100,3.98,overcast clouds
211,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,100,100,2.24,light intensity shower rain
212,Hithadhoo,MV,-0.6,73.0833,82.08,62,8,3.11,clear sky
213,Touros,BR,-5.1989,-35.4608,80.64,78,38,11.16,scattered clouds
214,Pecos,US,31.4229,-103.4932,68.09,9,0,9.22,clear sky
215,Padang,ID,-0.9492,100.3543,78.15,70,100,2.42,overcast clouds
216,Namwala,ZM,-15.7504,26.4384,67.55,88,87,4.07,overcast clouds
217,Faanui,PF,-16.4833,-151.75,81.66,76,16,20.94,light rain
218,Togur,RU,58.3631,82.8265,27.01,96,90,6.53,overcast clouds
219,Zarubino,RU,42.63,131.0922,34.2,50,3,6.82,clear sky
220,Arlit,NE,18.7369,7.3853,89.73,6,1,8.28,clear sky
221,Naze,JP,28.3667,129.4833,63.52,72,38,11.36,scattered clouds
222,Rio Grande City,US,26.3798,-98.8203,83.1,10,1,8.03,clear sky
223,Trzacka Rastela,BA,44.9733,15.7903,49.96,72,82,11.16,broken clouds
224,Palu,ID,-0.8917,119.8707,74.23,89,91,2.42,overcast clouds
225,Mezen,RU,65.8522,44.24,26.33,97,94,4.18,overcast clouds
226,Suntar,RU,62.1444,117.6319,9.41,96,100,3.36,overcast clouds
227,Robertson,US,36.5167,-86.8667,60.22,40,100,14.97,overcast clouds
228,Lucapa,AO,-8.4192,20.7447,65.35,97,49,3.56,scattered clouds
229,Kruisfontein,ZA,-34.0033,24.7314,55.89,80,12,7.4,light rain
230,Mishelevka,RU,52.8575,103.1719,33.62,97,99,4.38,overcast clouds
231,Kuryk,KZ,43.2,51.65,57.52,54,95,9.84,overcast clouds
232,Aksu,CN,41.1231,80.2644,64.22,19,73,3.69,broken clouds
233,Wewak,PG,-3.5534,143.6268,78.01,87,93,4.52,overcast clouds
234,Killybegs,IE,54.6333,-8.45,41.5,75,44,9.46,scattered clouds
235,Impfondo,CG,1.6381,18.0667,74.25,82,56,1.21,broken clouds
236,Luganville,VU,-15.5333,167.1667,81.27,83,100,7.65,overcast clouds
237,Tautira,PF,-17.7333,-149.15,82.0,75,16,18.7,few clouds
238,Port Lincoln,AU,-34.7333,135.8667,60.6,87,11,7.31,few clouds
239,San Quintin,MX,30.4833,-115.95,78.26,34,0,8.43,clear sky
240,Cabo San Lucas,MX,22.8909,-109.9124,88.61,34,0,10.36,clear sky
241,Praia,CV,14.9215,-23.5087,72.14,73,20,16.11,few clouds
242,Port Elizabeth,ZA,-33.918,25.5701,59.31,67,20,17.27,few clouds
243,Dahuk,IQ,36.8695,42.994,58.93,56,30,0.83,scattered clouds
244,Saint-Francois,FR,46.4154,3.9054,54.84,77,75,11.5,broken clouds
245,Road Town,VG,18.4167,-64.6167,82.44,69,40,9.22,scattered clouds
246,Urengoy,RU,65.9667,78.3667,-6.0,100,99,5.97,overcast clouds
247,Kanniyakumari,IN,8.0833,77.5667,81.81,78,100,5.32,overcast clouds
248,Worland,US,44.0169,-107.9554,55.6,21,0,11.99,clear sky
249,Guerrero Negro,MX,27.9769,-114.0611,85.01,24,3,13.56,clear sky
250,Bara,NG,10.3744,10.7288,87.15,23,13,1.28,few clouds
251,Pallasovka,RU,50.05,46.8833,49.93,65,80,9.06,broken clouds
252,Eagle Pass,US,28.7091,-100.4995,80.28,11,0,4.94,clear sky
253,Kutum,SD,14.2,24.6667,78.03,11,3,8.5,clear sky
254,Chuy,UY,-33.6971,-53.4616,68.4,73,100,7.67,overcast clouds
255,Kidal,ML,18.4411,1.4078,92.88,6,0,7.43,clear sky
256,Manokwari,ID,-0.8667,134.0833,78.28,78,100,4.25,overcast clouds
257,Antalaha,MG,-14.9003,50.2788,75.04,92,96,5.32,overcast clouds
258,Jaguaruna,BR,-28.615,-49.0256,71.19,82,100,6.53,light rain
259,Dingle,PH,10.9995,122.6711,74.34,96,100,7.54,heavy intensity rain
260,Sitka,US,57.0531,-135.33,42.69,81,100,14.97,moderate rain
261,Viedma,AR,-40.8135,-62.9967,61.34,70,100,14.05,overcast clouds
262,Portland,US,45.5234,-122.6762,76.87,30,20,9.22,few clouds
263,Sechura,PE,-5.5569,-80.8222,82.42,54,43,17.63,scattered clouds
264,Moree,AU,-29.4667,149.85,64.42,82,75,6.91,broken clouds
265,Tateyama,JP,34.9833,139.8667,55.09,78,0,10.78,clear sky
266,Yarada,IN,17.65,83.2667,79.12,94,20,2.3,mist
267,Ardmore,US,34.1743,-97.1436,65.86,18,40,27.63,scattered clouds
268,Waipawa,NZ,-41.4122,175.5153,51.22,68,0,4.43,clear sky
269,Quatre Cocos,MU,-20.2078,57.7625,78.91,84,45,14.0,light rain
270,Baghdad,IQ,33.3406,44.4009,69.71,32,100,2.3,overcast clouds
271,Beringovskiy,RU,63.05,179.3167,2.73,73,22,4.27,few clouds
272,Avera,US,33.194,-82.5271,71.65,40,0,14.7,clear sky
273,Butaritari,KI,3.0707,172.7902,81.32,79,99,14.63,overcast clouds
274,Osmena,PH,10.5208,119.9258,77.67,85,100,4.63,overcast clouds
275,Saint George,US,37.1041,-113.5841,79.43,9,0,6.91,clear sky
276,Seymchan,RU,62.8833,152.4333,6.89,93,100,1.05,overcast clouds
277,Turukhansk,RU,65.8167,87.9833,5.04,98,46,5.41,scattered clouds
278,Fairbanks,US,64.8378,-147.7164,37.98,51,40,0.0,scattered clouds
279,Tamiahua,MX,21.2667,-97.45,77.88,51,73,19.42,broken clouds
280,Berdigestyakh,RU,62.0989,126.6992,6.17,99,98,3.2,overcast clouds
281,Akropong,GH,5.9746,-0.0854,77.95,75,52,9.19,broken clouds
282,Inzhavino,RU,52.3185,42.4937,43.5,84,88,9.22,overcast clouds
283,Bairiki,KI,1.3292,172.9752,82.4,78,75,6.91,broken clouds
284,Kuusamo,FI,65.9667,29.1833,23.04,86,0,8.05,clear sky
285,Nemuro,JP,43.3236,145.575,32.25,88,100,10.6,overcast clouds
286,Balkanabat,TM,39.5108,54.3671,63.46,47,99,6.44,overcast clouds
287,Half Moon Bay,US,37.4636,-122.4286,97.41,29,40,3.44,scattered clouds
288,Irbit,RU,57.6705,63.071,27.82,89,7,9.57,clear sky
289,Sarkand,KZ,45.41,79.9186,60.67,54,100,8.37,overcast clouds
290,Hobyo,SO,5.3505,48.5268,82.49,74,39,11.18,scattered clouds
291,Kushima,JP,31.4583,131.2333,53.06,80,0,5.77,clear sky
292,Kudahuvadhoo,MV,2.6708,72.8944,83.16,68,46,2.44,scattered clouds
293,Diego De Almagro,CL,-26.3667,-70.05,81.86,17,0,15.55,clear sky
294,Sibolga,ID,1.7427,98.7792,75.2,85,100,2.51,overcast clouds
295,Jutai,BR,-5.1833,-68.9,82.72,81,93,2.75,overcast clouds
296,Elliot Lake,CA,46.3834,-82.6331,41.88,80,99,7.0,overcast clouds
297,Pekan,MY,3.4836,103.3996,75.31,90,100,5.1,overcast clouds
298,Fortuna,US,40.5982,-124.1573,70.93,64,0,12.66,clear sky
